|85890480574|Geoff|Cooke|NIE
|01800184655|Broderick|Gunter|TAK
|49860384611|Tanny|Donnelly|NIE
|51850232815|Freeman|Gunter|NIE
|56830408228|Else|Baldwin|TAK
|87910212770|Derward|Sharma|TAK
|49830507725|Benedetta|Underwood|TAK
|59860243247|Constantina|Turner|NIE
|58820014787|Loreen|Casey|TAK
|67800541539|Cyrill|Hurley|TAK
|67890648187|Sherri|Gibbs|TAK
|66860666750|Garek|Rose|TAK
|48870259269|Priscilla|Knox|NIE
|60850422421|Manya|Lim|TAK
|48900623420|Alisun|Langston|NIE
|64870102154|Bancroft|Cunningham|TAK
|62820125037|Lin|Hancock|NIE
|72800642638|Lindsay|Simmons|TAK
|65900465511|Nial|Shea|TAK
|45880187315|Findlay|Bradford|NIE
|45820111190|Raffaello|Davenport|TAK
|43830062615|Pancho|Coley|NIE
|85890636553|Vincent|Doyle|TAK
|64840423511|Heall|Rodgers|TAK
|61800416330|Jerald|Sigmon|TAK
|46820346977|Jarrid|Burton|NIE
|94900282189|Winnah|Nixon|TAK
|00860199720|Charmian|Fischer|NIE
|44810227440|Octavia|Fleming|NIE
|02850478824|Corliss|Burnett|TAK
|50860428625|Dorthy|Gupta|TAK
|87880493722|Celestia|Kearney|NIE
|90890132604|Corella|Fox|NIE
|66810075869|Aubrey|Feldman|TAK
|79840240068|Dale|Boyette|NIE
|51850232815|Freeman|Gunter|TAK
|55830351686|Drusy|Quinn|TAK
|98910018222|Maryjane|Cline|NIE
|76820534359|Reinwald|Patel|NIE
|99820198239|Welbie|Lee|TAK
|98900145132|Conrad|Love|TAK
|60880437491|Miner|Curtis|TAK
|95890461248|Vevay|Beard|NIE
|03820536553|Derrek|Wilkins|NIE
|61870459963|Venus|Bridges|NIE
|50880441493|Obediah|Singer|TAK
|77910046305|Blake|Carlton|TAK
|64880633493|Hermon|Shaw|TAK
|75870583908|Clarissa|Francis|NIE
|44860064365|Debbie|Page|TAK
|44880405333|Skippy|Carver|NIE
|86820098265|Rachael|McMillan|NIE
|51860505226|TEirtza|Turner|TAK
|77840695660|Daria|Armstrong|NIE
|62910575595|Borden|Ward|NIE
|49830113450|Hobart|Shaw|TAK
|61870177902|Mora|Wolfe|TAK
|59870640922|Rosanne|Hughes|NIE
|49910597525|Amy|Adkins|NIE
|69860649172|Juan|Glass|NIE
|52910154384|Lonni|Underwood|NIE
|67860293827|Desiree|Crowell|TAK
|88890516311|Rowan|Ayers|NIE
|74850300445|Donnie|Higgins|NIE
|48810670983|Melba|Strickland|NIE
|03800252525|Nixie|Mullins|NIE
|91840001869|Cynthie|Gibbs|TAK
|94830056700|Rochette|Fitzpatrick|TAK
|80910004400|Zorine|Andrews|TAK
|46820346977|Jarrid|Burton|TAK
|82820599557|Joshuah|Frederick|TAK
|97850262371|Rodrick|Lewis|TAK
|71820305907|Isobel|Lindsey|NIE
|71830487886|Mina|Morgan|TAK
|51900444179|Yorker|Meyers|NIE
|95850203604|Imojean|Mills|TAK
|68910528713|Gayelord|Lambert|NIE
|52810345545|Roxie|White|NIE
|76870025973|Raffarty|Wilcox|TAK
|54910332892|Toddie|Cherry|TAK
|87810602231|Wildon|Zhu|TAK
|59830681369|Delphinia|Adams|NIE
|48820332374|Yuma|Knight|TAK
|58820305788|Christiane|Wiley|NIE
|76890213291|Jeremias|Rodgers|TAK
|57810449884|Mariska|Anthony|NIE
|48810670983|Melba|Strickland|TAK
|61860165328|Teresita|Harrington|NIE
|93900220447|Abbi|Stevens|NIE
|01820083853|Norbert|Burns|NIE
|43880407266|Rebe|Davies|TAK
|52860402708|Alyce|Holt|NIE
|51860237213|Ber|Curry|TAK
|43870678593|Barnabas|Ross|NIE
|94810325626|Ursula|Richmond|TAK
|72800431489|Zitella|Miller|TAK
|65800267910|Garwood|Weaver|TAK
|82820232638|Artemas|Thomas|TAK
|95840681360|Ann-Marie|Daniel|NIE
|85890480574|Geoff|Cooke|TAK
|70840230367|Cicily|Francis|NIE
|98910018222|Maryjane|Cline|TAK
|52850071563|Kitty|Griffith|NIE
|53860580991|Mikael|Wiley|TAK
|61800341896|Sven|Zhou|NIE
|43860412840|Wynny|Patton|TAK
|74860255832|Pebrook|Bernstein|TAK
|79910087728|Joceline|Benson|NIE
|51900672149|Tillie|Cash|NIE
|63810608680|Michaeline|Freeman|TAK
|99910547714|Otto|Fisher|NIE
|48860299910|Dave|Li|NIE
|95820321101|Fey|Ellington|TAK
|03820218936|Conant|Boyette|TAK
|62820125037|Lin|Hancock|TAK
|59860243247|Constantina|Turner|TAK
|01830598051|Bordie|House|TAK
|96820270501|Athene|Cole|NIE
|88830175536|Rice|Pollock|TAK
|99840699635|Alon|Lamm|NIE
|79820456360|Dode|Lambert|NIE
|81810598439|Ewen|Hopkins|NIE
|65910449235|Broderick|Aycock|NIE
|03830664112|Iggy|Mercer|TAK
|92840533752|Casey|Hall|TAK
