1|85890480574|Geoff|Cooke
2|01800184655|Broderick|Gunter
3|49860384611|Tanny|Donnelly
4|59860243247|Constantina|Turner
5|00860199720|Charmian|Fischer
6|48900623420|Alisun|Langston
10|66810075869|Aubrey|Feldman
11|87910212770|Derward|Sharma
12|51860505226|TEirtza|Turner
14|90890132604|Corella|Fox
16|03800252525|Nixie|Mullins
17|79840240068|Dale|Boyette
18|91840001869|Cynthie|Gibbs
19|65900465511|Nial|Shea
20|51850232815|Freeman|Gunter
21|66860666750|Garek|Rose
22|62910575595|Borden|Ward
24|64840423511|Heall|Rodgers
25|74850300445|Donnie|Higgins
28|99820198239|Welbie|Lee
29|49910597525|Amy|Adkins
30|61800416330|Jerald|Sigmon
31|46820346977|Jarrid|Burton
33|72800642638|Lindsay|Simmons
35|48870259269|Priscilla|Knox
38|87880493722|Celestia|Kearney
39|86820098265|Rachael|McMillan
41|50880441493|Obediah|Singer
42|61800341896|Sven|Zhou
44|51860237213|Ber|Curry
45|95840681360|Ann-Marie|Daniel
46|96820270501|Athene|Cole
47|62820125037|Lin|Hancock
48|67890648187|Sherri|Gibbs
49|95820321101|Fey|Ellington
50|01830598051|Bordie|House
